COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Beethoven, Ludwig van	Op127	2	32	bII6	Ab major
Beethoven, Ludwig van	Op130	2	13	bII6	B minor
Beethoven, Ludwig van	Op130	2	15	bII6	B minor
Beethoven, Ludwig van	Op130	2	86	bII6	B minor
Beethoven, Ludwig van	Op130	2	88	bII6	B minor
Beethoven, Ludwig van	Op130	2	94	bII6	B minor
Beethoven, Ludwig van	Op130	2	96	bII6	B minor
Beethoven, Ludwig van	Op131	1	11	bII6	C# minor
Beethoven, Ludwig van	Op131	1	107	bII6	C# minor
Beethoven, Ludwig van	Op131	6	8	bII6	G# minor
Beethoven, Ludwig van	Op131	6	16	bII6	G# minor
Beethoven, Ludwig van	Op131	6	24	bII6	G# minor
Beethoven, Ludwig van	Op131	7	16	bII6	C# minor
Beethoven, Ludwig van	Op131	7	17	bII6	C# minor
Beethoven, Ludwig van	Op131	7	18	bII6	C# minor
Beethoven, Ludwig van	Op131	7	327	bII6	C# major
Beethoven, Ludwig van	Op132	1	18	bII6	A minor
Beethoven, Ludwig van	Op132	1	28	bII6	A minor
Beethoven, Ludwig van	Op132	1	29	bII6	A minor
Beethoven, Ludwig van	Op132	1	128	bII6	E minor
Beethoven, Ludwig van	Op132	5	226	bII6	A minor
Beethoven, Ludwig van	Op135	1	72	bII6	C minor
Beethoven, Ludwig van	Op18 No1	2	33	bII6	F major
Beethoven, Ludwig van	Op18 No1	2	37	bII6	F major
Beethoven, Ludwig van	Op18 No1	2	83	bII6	D major
Beethoven, Ludwig van	Op18 No1	2	87	bII6	D major
Beethoven, Ludwig van	Op18 No1	2	102	bII6	D minor
Beethoven, Ludwig van	Op18 No3	2	33	bII6	F minor
Beethoven, Ludwig van	Op18 No6	1	58	bII6	F minor
Beethoven, Ludwig van	Op18 No6	1	232	bII6	Bb minor
Beethoven, Ludwig van	Op18 No6	1	234	bII6	Bb minor
Beethoven, Ludwig van	Op18 No6	2	28	bII6	Eb minor
Beethoven, Ludwig van	Op18 No6	2	32	bII6	Eb minor
Beethoven, Ludwig van	Op18 No6	2	34	bII6	Eb minor
Beethoven, Ludwig van	Op18 No6	4	176	bII6	Bb major
Beethoven, Ludwig van	Op59 No1	1	166	bII6	F minor
Beethoven, Ludwig van	Op59 No1	3	31	bII6	C minor
Beethoven, Ludwig van	Op59 No1	3	104	bII6	F minor
Beethoven, Ludwig van	Op59 No1	3	124	bII6	F minor
Beethoven, Ludwig van	Op59 No1	4	145	bII6	D minor
Beethoven, Ludwig van	Op59 No1	4	154	bII6	D minor
Beethoven, Ludwig van	Op59 No1	4	156	bII6	D minor
Beethoven, Ludwig van	Op59 No2	1	121	bII6	A minor
Beethoven, Ludwig van	Op59 No2	1	122	bII6	A minor
Beethoven, Ludwig van	Op59 No2	1	251	bII6	E minor
Beethoven, Ludwig van	Op59 No2	1	253	bII6	E minor
Beethoven, Ludwig van	Op59 No2	1	255	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	73	bII6	B minor
Beethoven, Ludwig van	Op59 No2	4	74	bII6	B minor
Beethoven, Ludwig van	Op59 No2	4	82	bII6	B minor
Beethoven, Ludwig van	Op59 No2	4	219	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	220	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	227	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	228	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	232	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	236	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	240	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	244	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	340	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	341	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	342	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	343	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	348	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	349	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	350	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	351	bII6	E minor
Beethoven, Ludwig van	Op59 No2	4	356	bII6	E minor
Beethoven, Ludwig van	Op59 No3	2	92	bII6	D minor
Haydn, Franz Joseph	Op20 No1	1	59	N6/vi	Eb major
Haydn, Franz Joseph	Op20 No1	1	60	N6/vi	Eb major
Haydn, Franz Joseph	Op20 No1	4	82	N6	C minor
Haydn, Franz Joseph	Op20 No2	1	74	N6	A minor
Haydn, Franz Joseph	Op20 No3	1	192	N6	G minor
Haydn, Franz Joseph	Op20 No3	1	220	N6	G minor
Haydn, Franz Joseph	Op20 No3	1	244	N6	G minor
Haydn, Franz Joseph	Op20 No3	1	245	N6	G minor
Haydn, Franz Joseph	Op20 No3	1	246	N6	G minor
Haydn, Franz Joseph	Op20 No3	2	41	N6	G minor
Haydn, Franz Joseph	Op20 No3	2	42	N6	G minor
Haydn, Franz Joseph	Op20 No3	4	9	N6	G minor
Haydn, Franz Joseph	Op20 No3	4	95	N6	G minor
Haydn, Franz Joseph	Op20 No4	1	298	N/vi	D major
Haydn, Franz Joseph	Op20 No4	2	13	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	31	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	67	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	85	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	98	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	100	N	D minor
Haydn, Franz Joseph	Op20 No4	2	102	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	116	N6	D minor
Haydn, Franz Joseph	Op20 No4	2	117	N6	D minor
